nome_curso;sexo;count_sexo;count_total;Porcentagem (%)
;M;391;;0.0
;F;526;;0.0
ADMINISTRAÇÃO;M;139;282;49.29
ADMINISTRAÇÃO;F;143;282;50.71
ADMINISTRAÇÃO PÚBLICA;F;22;40;55.0
ADMINISTRAÇÃO PÚBLICA;M;18;40;45.0
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;M;34;41;82.93
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;F;7;41;17.07
ARQUITETURA E URBANISMO;M;15;45;33.33
ARQUITETURA E URBANISMO;F;30;45;66.67
ARTES VISUAIS;F;30;44;68.18
ARTES VISUAIS;M;14;44;31.82
AUDITORIA EM SAÚDE;F;30;40;75.0
AUDITORIA EM SAÚDE;M;10;40;25.0
BACHARELADO INTERDISCIPLINAR EM HUMANIDADES;F;32;51;62.75
BACHARELADO INTERDISCIPLINAR EM HUMANIDADES;M;19;51;37.25
BIBLIOTECONOMIA;M;16;74;21.62
BIBLIOTECONOMIA;F;58;74;78.38
BIOMEDICINA;M;26;82;31.71
BIOMEDICINA;F;56;82;68.29
CIÊNCIA DA COMPUTAÇÃO;F;2;10;20.0
CIÊNCIA DA COMPUTAÇÃO;M;8;10;80.0
CIÊNCIAS ATUARIAIS;F;21;41;51.22
CIÊNCIAS ATUARIAIS;M;20;41;48.78
CIÊNCIAS BIOLÓGICAS;M;86;160;53.75
CIÊNCIAS BIOLÓGICAS;F;74;160;46.25
CIÊNCIAS CONTÁBEIS;M;153;259;59.07
CIÊNCIAS CONTÁBEIS;F;106;259;40.93
CIÊNCIAS E TECNOLOGIA;M;591;839;70.44
CIÊNCIAS E TECNOLOGIA;F;248;839;29.56
CIÊNCIAS ECONÔMICAS;M;75;116;64.66
CIÊNCIAS ECONÔMICAS;F;41;116;35.34
CIÊNCIAS SOCIAIS;F;51;102;50.0
CIÊNCIAS SOCIAIS;M;51;102;50.0
COMUNICAÇÃO SOCIAL - AUDIOVISUAL;M;52;92;56.52
COMUNICAÇÃO SOCIAL - AUDIOVISUAL;F;40;92;43.48
COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA;F;45;89;50.56
COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA;M;44;89;49.44
CONTABILIDADE, CONTROLADORIA E GESTÃO DE CUSTOS NO SETOR PÚBLICO;M;37;58;63.79
CONTABILIDADE, CONTROLADORIA E GESTÃO DE CUSTOS NO SETOR PÚBLICO;F;21;58;36.21
CURSO DE CONVERSAÇÃO EM LÍNGUA ESPANHOLA;M;2;6;33.33
CURSO DE CONVERSAÇÃO EM LÍNGUA ESPANHOLA;F;4;6;66.67
CURSO DE CONVERSAÇÃO EM LÍNGUA FRANCESA;M;4;9;44.44
CURSO DE CONVERSAÇÃO EM LÍNGUA FRANCESA;F;5;9;55.56
CURSO DE CONVERSAÇÃO EM LÍNGUA INGLESA;F;6;12;50.0
